Room type,Name,Descriptions,Rating,Price
Entire condominium (condo) in Kuala Lumpur,★Free Service Fee★Luxury★Infinity Pool★10min KLCC★,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$35 per night
Entire condominium (condo) in Kuala Lumpur,KLCC  NetfliX WIFI gleneagles simple studio,"4 guests, 1 bedroom, 2 beds, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$15 per night
Entire condominium (condo) in Kuala Lumpur,NEW! Arte Mont Kiara 1BR MUJI Suite,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.83,$28 per night
Entire rental unit in Kuala Lumpur,Painting the Stripes of Life with Adventures,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.47,$21 per night
Entire serviced apartment in Kuala Lumpur,"Sky Pool With KL Tower , Ceylonz Suite Five Senses","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.15,$19 per night
Entire rental unit in Kuala Lumpur,Perfect for Work From Home with Balcony,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$27 per night
Entire rental unit in Kuala Lumpur,"Fifty Shades of Grey 1-Bedroom Apt, Infinity Pool","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$25 per night
Entire rental unit in Kuala Lumpur,Tropical Vibes 1-Bedroom with Infinity Pool,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$21 per night
Entire rental unit in Kuala Lumpur,【HOT】Premier Suite with 58' SMART TV@KL City View,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.97,$31 per night
Entire rental unit in Kuala Lumpur,Fraser Residence KL 1BR High Speed internet #2,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$43 per night
Entire rental unit in Kuala Lumpur,Timeless Harmonious Strikes with Pastel Palette,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.94,$26 per night
Entire rental unit in Kuala Lumpur,#2br53fInfinityPool LuxSuite#KLCCVIEW#1MinWalkKLCC,"4 guests, 2 bedrooms, 2 beds, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$49 per night
Entire condominium (condo) in Kuala Lumpur,【Astoria Ampang】Kuala Lumpur Best Stay & Netflix,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",5.0,$34 per night
Entire condominium (condo) in Kuala Lumpur,Minimalist Suites [Netflix] Near KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$32 per night
Entire serviced apartment in Kuala Lumpur,Relaxing Home @ Regalia KL(Next to PWTC),"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$25 per night
Entire rental unit in Kuala Lumpur,Mid Autumn Promo + 6 Min  Twin Towers,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.72,$31 per night
Entire rental unit in Kuala Lumpur,Hours in Snow White and Rose Red Fairy Land,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.91,$27 per night
Entire rental unit in Kuala Lumpur,Welcoming Home With Netflix (Near PWTC/Mall/KTM),"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.79,$25 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestPiazza@The Robertson- Balcony- Netflix,"6 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.89,$38 per night
Entire rental unit in Kuala Lumpur,#53 2BInfinityPoolLuxSuite#KLCCVIEW#1MinWalkKLCC,"4 guests, 2 bedrooms, 4 beds, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$43 per night
,,,,
