Room type,Name,Descriptions,Rating,Price
Entire rental unit in Kuala Lumpur,Fraser Residence KL 1BR High Speed internet #2,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$43 per night
Entire rental unit in Kuala Lumpur,Timeless Harmonious Strikes with Pastel Palette,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.94,$26 per night
Entire rental unit in Kuala Lumpur,#2br53fInfinityPool LuxSuite#KLCCVIEW#1MinWalkKLCC,"4 guests, 2 bedrooms, 2 beds, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$49 per night
Entire condominium (condo) in Kuala Lumpur,【Astoria Ampang】Kuala Lumpur Best Stay & Netflix,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",5.0,$34 per night
Entire condominium (condo) in Federal Territory of Kuala Lumpur,Mekar Suite at MyRehat@Regalia,"3 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.76,$22 per night
Entire condominium (condo) in Kuala Lumpur,Minimalist Suites [Netflix] Near KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$32 per night
Entire serviced apartment in Kuala Lumpur,Relaxing Home @ Regalia KL(Next to PWTC),"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$25 per night
Entire rental unit in Kuala Lumpur,Mid Autumn Promo + 6 Min  Twin Towers,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.72,$31 per night
Entire rental unit in Kuala Lumpur,Hours in Snow White and Rose Red Fairy Land,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.91,$27 per night
Entire rental unit in Kuala Lumpur,Welcoming Home With Netflix (Near PWTC/Mall/KTM),"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.79,$25 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestPiazza@The Robertson- Balcony- Netflix,"6 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.89,$38 per night
Entire rental unit in Kuala Lumpur,Urban Resort Studio Apt (New) | 3mins Walk to KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",5.0,$29 per night
Entire rental unit in Kuala Lumpur,#53 2BInfinityPoolLuxSuite#KLCCVIEW#1MinWalkKLCC,"4 guests, 2 bedrooms, 4 beds, 2 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$43 per night
Entire condominium (condo) in Kuala Lumpur,Designer 1BR Ensuite in City Center Kuala Lumpur,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$32 per night
Entire rental unit in Kuala Lumpur,Relive Your Childhood Dreams,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$21 per night
Entire rental unit in Kuala Lumpur,Fraser Residence KL 1BR High Speed internet,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$42 per night
Entire serviced apartment in Kuala Lumpur,"Next to KL Tower, Free Shuttle Bus and Netflix","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.75,$19 per night
Entire rental unit in Kuala Lumpur,Embrace Nature in Modern Studio with Infinity Pool,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$26 per night
Entire condominium (condo) in Federal Territory of Kuala Lumpur,Wake Up in KLCC View,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.78,$22 per night
Entire rental unit in Kuala Lumpur,Calming in Zen Minimalist Studio & Infinity Pool,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$23 per night
,,,,
