Room type,Name,Descriptions,Rating,Price
Entire rental unit in Federal Territory of Kuala Lumpur,Breathing Greenery city centre with Infinity Pool,"3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.85,$24 per night
Entire loft in Kuala Lumpur,KS02 -Truly Bright & Stylist Room in Bukit Bintang,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Self check-in",4.69,$11 per night
Entire rental unit in Kuala Lumpur,Comfy in Modern Design Suite/ KLCC Infinity Pool,"3 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.93,$13 per night
Entire rental unit in Kuala Lumpur,Fleur-de-lys at the foot of the Cathedral,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.75,$20 per night
Entire rental unit in Kuala Lumpur,Designer Studio #1 with Rooftop Infinity Pool,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$26 per night
Entire rental unit in Kuala Lumpur,Studio I Wifi I Extended Stay & Staycation I,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$38 per night
Entire serviced apartment in Kuala Lumpur,Work From Suite only RM75 ! 9AM-7PM at KL ★,"2 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$18 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestCupid@The Robertson 1BR Netflix Couple,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$39 per night
Entire rental unit in Kuala Lumpur,Kuala Lumpur Regalia Deluxe Suite,"5 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$24 per night
Entire condominium (condo) in Kuala Lumpur,Eiffel Suites [Netflix] Near KLCC & Subway,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.85,$33 per night
Entire rental unit in Kuala Lumpur,WhiteForestVenus@The Robertson 1BR Netflix Couple,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$39 per night
Entire serviced apartment in Kuala Lumpur,Ceylonz Suite - Sky Pool With KL Tower,"2 guests, 1 bedroom, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",,$17 per night
Entire rental unit in Kuala Lumpur,WhiteForestNutella@The Robertson 1BR NetflixCouple,"7 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.88,$39 per night
Entire rental unit in Kuala Lumpur,Take the Scenic Route with KLCC View,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$32 per night
Entire serviced apartment in Kuala Lumpur,"Perfect location #3 @Heart of KL City, Metro MRT","3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.62,$18 per night
Entire rental unit in Kuala Lumpur,Loving Ourselves is the Greatest Miracle Cures,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.82,$24 per night
Entire serviced apartment in Kuala Lumpur,「HOT」 KLCC View Room ｜SmartTV｜SkyPool Staycation❣,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.78,$32 per night
Entire condominium (condo) in Federal Territory of Kuala Lumpur,"Stylish Hideout c/w Balcony, and Infinity Pool","2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.65,$22 per night
Entire rental unit in Kuala Lumpur,Charming Private Studio Close to the KLCC,"2 guests, 1 bedroom, 1 bed, Half-bath, Wifi, Air conditioning, Kitchen, Self check-in",4.93,$24 per night
Entire rental unit in Federal Territory of Kuala Lumpur,Black Forest Themed Studio with Infinity Pool,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$27 per night
,,,,
