Room type,Name,Descriptions,Rating,Price
Entire rental unit in Kuala Lumpur,"Warm, Cozy, High-Rise 1-Bedroom with Infinity Pool","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$25 per night
Entire serviced apartment in Federal Territory of Kuala Lumpur,Cozy Studio in Regalia (Next to PWTC | Mall | KTM),"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.79,$25 per night
Entire rental unit in Kuala Lumpur,5 Mins walk to Bukit Bintang & KL City Centre 5N,"5 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.46,$18 per night
Entire condominium (condo) in Kuala Lumpur,*Luxury Studio@Summer Suites Walk to KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.48,$20 per night
Entire condominium (condo) in Kuala Lumpur,Green Living [Netflix] Near KLCC & Subway,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.90,$33 per night
Entire rental unit in Kuala Lumpur,Dorsett.top pool view .Pavilion KLCC 1R1B #D4,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.56,$29 per night
Entire condominium (condo) in Kuala Lumpur,【KLcity】CoZy 1Br with balcony @ infinity Pool,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$20 per night
Entire rental unit in Kuala Lumpur,Summer Vibes over the Stepping Stones,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.86,$21 per night
Entire rental unit in Kuala Lumpur,KS04- Truly Bright & Stylist Room in Bukit Bintang,"3 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.69,$10 per night
Entire condominium (condo) in Kuala Lumpur,"[TheFR] Comfy Home at Bukit Bintang, Kuala Lumpur","3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.80,$21 per night
Entire rental unit in Federal Territory of Kuala Lumpur,Breathing Greenery city centre with Infinity Pool,"3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.85,$24 per night
Entire loft in Kuala Lumpur,KS02 -Truly Bright & Stylist Room in Bukit Bintang,"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Self check-in",4.69,$11 per night
Entire rental unit in Kuala Lumpur,Comfy in Modern Design Suite/ KLCC Infinity Pool,"3 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.93,$13 per night
Entire rental unit in Kuala Lumpur,Fleur-de-lys at the foot of the Cathedral,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.75,$20 per night
Entire rental unit in Kuala Lumpur,Designer Studio #1 with Rooftop Infinity Pool,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$26 per night
Entire rental unit in Kuala Lumpur,Studio I Wifi I Extended Stay & Staycation I,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$38 per night
Entire serviced apartment in Kuala Lumpur,Work From Suite only RM75 ! 9AM-7PM at KL ★,"2 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$18 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestCupid@The Robertson 1BR Netflix Couple,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$39 per night
Entire rental unit in Kuala Lumpur,Kuala Lumpur Regalia Deluxe Suite,"5 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.84,$24 per night
Entire condominium (condo) in Kuala Lumpur,Eiffel Suites [Netflix] Near KLCC & Subway,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.85,$33 per night
,,,,
