Room type,Name,Descriptions,Rating,Price
Entire serviced apartment in Kuala Lumpur,Ceylonz★Bukit Bintang★Changkat ★KLCC View★ Netflix,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning",4.68,$29 per night
Entire condominium (condo) in Kuala Lumpur,WhiteForestLust@The Robertson KL KLCC View Netflix,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$39 per night
Entire serviced apartment in Kuala Lumpur,"Sky Suite with Netflix, Ceylon Bukit Bintang","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$19 per night
Entire condominium (condo) in Kuala Lumpur,Roomy' business WFH (provide early check in)#2,"4 guests, Studio, 3 beds, 1 bath, Wifi, Air conditioning, Kitchen",4.62,$23 per night
Entire rental unit in Kuala Lumpur,Studio I Wifi I Extended Stay & Staycation I WFH,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.61,$36 per night
Entire rental unit in Kuala Lumpur,Traditional Ethnic Style Studio with Infinity Pool,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.86,$23 per night
Entire condominium (condo) in Kuala Lumpur,W6 The Robertson 1B1R Bukit Bintang  KL (Balcony),"4 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.78,$30 per night
Entire serviced apartment in Kuala Lumpur,#53F>InfinityPool LuxSuite#KLCCVIEW#1MinWalkKLCC,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.80,$34 per night
Entire rental unit in Federal Territory of Kuala Lumpur,"Living In A Picture Without Frame, Paint Your Life","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.90,$25 per night
Entire rental unit in Federal Territory of Kuala Lumpur,Stylish High-Rise 1-Bedroom #2 with Infinity Pool,"3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.88,$28 per night
Entire rental unit in Kuala Lumpur,"Warm, Cozy, High-Rise 1-Bedroom with Infinity Pool","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$25 per night
Entire serviced apartment in Federal Territory of Kuala Lumpur,Cozy Studio in Regalia (Next to PWTC | Mall | KTM),"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.79,$25 per night
Entire rental unit in Kuala Lumpur,5 Mins walk to Bukit Bintang & KL City Centre 5N,"5 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.46,$18 per night
Entire condominium (condo) in Kuala Lumpur,*Luxury Studio@Summer Suites Walk to KLCC,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.48,$20 per night
Entire condominium (condo) in Kuala Lumpur,Green Living [Netflix] Near KLCC & Subway,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.90,$33 per night
Entire rental unit in Kuala Lumpur,Dorsett.top pool view .Pavilion KLCC 1R1B #D4,"2 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.56,$29 per night
Entire condominium (condo) in Kuala Lumpur,【KLcity】CoZy 1Br with balcony @ infinity Pool,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$20 per night
Entire rental unit in Kuala Lumpur,Summer Vibes over the Stepping Stones,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.86,$21 per night
Entire rental unit in Kuala Lumpur,KS04- Truly Bright & Stylist Room in Bukit Bintang,"3 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.69,$10 per night
Entire condominium (condo) in Kuala Lumpur,"[TheFR] Comfy Home at Bukit Bintang, Kuala Lumpur","3 guests, 1 bedroom, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.80,$21 per night
,,,,
