Room type,Name,Descriptions,Rating,Price
Entire rental unit in Kuala Lumpur,WhiteForestVenus@The Robertson 1BR Netflix Couple,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.95,$39 per night
Entire serviced apartment in Kuala Lumpur,Ceylonz Suite - Sky Pool With KL Tower,"2 guests, 1 bedroom, 0 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",,$17 per night
Entire rental unit in Kuala Lumpur,WhiteForestNutella@The Robertson 1BR NetflixCouple,"7 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.88,$39 per night
Entire rental unit in Kuala Lumpur,Take the Scenic Route with KLCC View,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$32 per night
Entire serviced apartment in Kuala Lumpur,"Perfect location #3 @Heart of KL City, Metro MRT","3 guests, 1 bedroom, 1 bed, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.62,$18 per night
Entire rental unit in Kuala Lumpur,Loving Ourselves is the Greatest Miracle Cures,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.82,$24 per night
Entire serviced apartment in Kuala Lumpur,「HOT」 KLCC View Room ｜SmartTV｜SkyPool Staycation❣,"2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Self check-in",4.78,$32 per night
Entire condominium (condo) in Federal Territory of Kuala Lumpur,"Stylish Hideout c/w Balcony, and Infinity Pool","2 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.65,$22 per night
Entire rental unit in Kuala Lumpur,Charming Private Studio Close to the KLCC,"2 guests, 1 bedroom, 1 bed, Half-bath, Wifi, Air conditioning, Kitchen, Self check-in",4.93,$24 per night
Entire rental unit in Federal Territory of Kuala Lumpur,Black Forest Themed Studio with Infinity Pool,"4 guests, Studio, 2 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.87,$27 per night
Entire rental unit in Kuala Lumpur,1★PWTC★ Internet 500MB/s ★ Washer★ Netflix,"5 guests, Studio, 4 beds, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.63,$16 per night
Entire condominium (condo) in Kuala Lumpur,★Free Service Fee★Luxury★Infinity Pool★10min KLCC★,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$35 per night
Entire condominium (condo) in Kuala Lumpur,KLCC  NetfliX WIFI gleneagles simple studio,"4 guests, 1 bedroom, 2 beds, 1.5 baths, Wifi, Air conditioning, Kitchen, Self check-in",4.77,$15 per night
Entire condominium (condo) in Kuala Lumpur,NEW! Arte Mont Kiara 1BR MUJI Suite,"2 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen",4.83,$28 per night
Entire rental unit in Kuala Lumpur,Painting the Stripes of Life with Adventures,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.47,$21 per night
Entire serviced apartment in Kuala Lumpur,"Sky Pool With KL Tower , Ceylonz Suite Five Senses","4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.15,$19 per night
Entire rental unit in Kuala Lumpur,Perfect for Work From Home with Balcony,"4 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.83,$27 per night
Entire rental unit in Kuala Lumpur,"Fifty Shades of Grey 1-Bedroom Apt, Infinity Pool","4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.67,$25 per night
Entire rental unit in Kuala Lumpur,Tropical Vibes 1-Bedroom with Infinity Pool,"4 guests, 1 bedroom, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",5.0,$21 per night
Entire rental unit in Kuala Lumpur,【HOT】Premier Suite with 58' SMART TV@KL City View,"3 guests, Studio, 1 bed, 1 bath, Wifi, Air conditioning, Kitchen, Self check-in",4.97,$31 per night
,,,,
