Title,Company Name,Location,Salary,Rating,Descriptions
Creative,INVOKE SOLUTIONS SDN BHD,Kuala Lumpur,"RM 3,000 - RM 3,499 a month",,"The long-term aim was to curate diverse young talents in data science, software engineering, creative arts, digital marketing and field deployment under one…"
Project Analyst,TENTACLE SSO SDN.BHD.,Kuala Lumpur,,,B. Collects actuals data and forecasts to record for project filing as per the project’s needs requested by PMs. Use action verbs to begin each sentence.
Financial Data Analyst,WORLD VEST BASE SDN BHD,Kuala Lumpur,"RM 1,200 - RM 1,499 a month",3.3,Handle data input and ensure accuracy of released data information Assisting in providing information upon customer’s request.
HR Analyst,Weatherford,Kuala Lumpur,,3.9,With the view to use the data for HR projects and process improvement. Review and report data to present insights into existing practices and compare to best…
"Manager, Data Management Analyst",Hong Leong Bank,Kuala Lumpur,,3.6,Execute data analytics related Project and Research to provide insight for management decision making. Part of the enabler team to develop and identify new data…
HR Analyst,Ria Financial,Kuala Lumpur,,3.5,Regularly conduct system audits to guarantee data integrity. High integrity and able to maintain confidentiality in handling of employee data.
IT Support Analyst,CAPCO,Kuala Lumpur,,,The Capco IT Analyst role reports directly to the local Senior IT Analyst in Bangalore and is responsible for first line IT Support.
Data Analyst (Junior) - 2 to 3 years of working experience (...,foodpanda Malaysia,Kuala Lumpur,,3.8,"Creating procedures regarding collecting, critically evaluating and screening data. Knowledge of data science and statistical modeling skills is a plus."
Network Analyst,Starweb,Kuala Lumpur,,,"Monitors, maintains, and troubleshoots data or voice networks and responds to messages, alarms, or problems identified by tools."
Junior Project Analyst (Fresh Graduate),Recruit Express Service Sdn Bhd,Bangsar South,"RM 2,000 - RM 3,000 a month",,"Coordinates preparation internal and external reports through gathering, analyzing and summarizing data and information from the departments."
Intern,LEWIS,Kuala Lumpur,,,"The agency, its people and client campaigns have won many prestigious awards, including Cannes Lions, Holmes Report, ICCO, PRCA and European Excellence."
Reporting and Statutory Analyst,Baker Hughes,Kuala Lumpur,,4.0,"Extracting insight from data and explain, giving root cause analysis and recommendation to relevant stakeholders."
